"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.60488925340762e-11,0.933826245403827,0.91,0.781,3.37058841000668e-07,"0","ENSMUSG00000076437"
1.69314951175083e-11,1.97485504776542,0.584,0.219,3.55595260457908e-07,"0","ENSMUSG00000026603"
2.26070845530096e-11,0.90970563343833,0.918,0.762,4.74793989782307e-07,"0","ENSMUSG00000073676"
2.58072737658565e-11,0.482394469113649,1,1,5.42004363630518e-07,"0","ENSMUSG00000025794"
3.35380464024457e-11,2.69673422166316,0.442,0.076,7.04366050544165e-07,"0","ENSMUSG00000016386"
3.73766886325918e-11,0.629025354910225,0.987,0.914,7.84985214661694e-07,"0","ENSMUSG00000028639"
1.02442851809999e-10,0.761328421644371,0.974,0.848,2.15150477371359e-06,"0","ENSMUSG00000000031"
1.27690852529474e-10,1.34538745858456,0.777,0.476,2.68176328482401e-06,"0","ENSMUSG00000027203"
3.87071175518354e-10,0.592660906651846,0.987,0.962,8.12926882823646e-06,"0","ENSMUSG00000007892"
4.0702608274222e-10,0.446937454485369,1,0.99,8.5483617897521e-06,"0","ENSMUSG00000030744"
4.3295794125691e-10,1.83102594957833,0.622,0.295,9.09298268227762e-06,"0","ENSMUSG00000029177"
4.92916123280842e-10,0.578479279940794,0.974,0.952,1.03522244211442e-05,"0","ENSMUSG00000023456"
5.164529408759e-10,1.70296671308192,0.657,0.314,1.08465446642757e-05,"0","ENSMUSG00000046727"
1.81934085408597e-09,0.723560582405777,0.991,0.952,3.82097966175134e-05,"0","ENSMUSG00000040681"
2.40129902132313e-09,0.426081801069288,1,1,5.04320820458283e-05,"0","ENSMUSG00000074129"
2.52895984124303e-09,1.02465825277922,0.764,0.438,5.31132145857862e-05,"0","ENSMUSG00000024063"
5.04160335496967e-09,0.796454099110466,0.897,0.724,0.000105883753661073,"0","ENSMUSG00000018446"
7.50260515721103e-09,2.15234497405736,0.476,0.162,0.000157569713511746,"0","ENSMUSG00000075266"
7.7836747511124e-09,1.87029769923267,0.519,0.181,0.000163472737122863,"0","ENSMUSG00000034349"
1.29167594133831e-08,0.460812803562929,1,1,0.000271277781199873,"0","ENSMUSG00000050708"
1.38880328386904e-08,2.44907458619096,0.446,0.152,0.000291676465678176,"0","ENSMUSG00000019942"
1.50710629378366e-08,0.563380392924839,0.974,0.971,0.000316522463820443,"0","ENSMUSG00000032294"
2.19960796729629e-08,0.898591153955009,0.897,0.619,0.000461961665291567,"0","ENSMUSG00000020737"
2.95788319627159e-08,0.70917938108382,0.97,0.886,0.000621214628880958,"0","ENSMUSG00000078812"
3.85199445661348e-08,0.881517799694758,0.858,0.676,0.000808995875777962,"0","ENSMUSG00000028044"
5.75692303635099e-08,0.483337409847514,0.974,0.971,0.00120906897609444,"0","ENSMUSG00000063457"
6.2465832916417e-08,0.763363654422651,0.927,0.857,0.00131190742291059,"0","ENSMUSG00000023004"
6.39599152270558e-08,3.93898862566794,0.27,0.019,0.00134328613959863,"0","ENSMUSG00000019789"
7.12735562311771e-08,0.948389878851838,0.755,0.476,0.00149688722796718,"0","ENSMUSG00000058799"
7.81169117758621e-08,0.524682044077408,0.987,0.971,0.00164061138111666,"0","ENSMUSG00000059796"
9.73248586050147e-08,2.27349193054179,0.399,0.124,0.00204401668042252,"0","ENSMUSG00000028873"
9.98705363095544e-08,1.40403867867044,0.601,0.314,0.00209748100357326,"0","ENSMUSG00000004897"
1.2426472687184e-07,1.77051771431002,0.498,0.2,0.00260980779376238,"0","ENSMUSG00000030978"
1.25050686381005e-07,1.8961331978871,0.416,0.133,0.00262631451537386,"0","ENSMUSG00000032218"
1.45376766750867e-07,2.37968735253652,0.335,0.067,0.0030532028553017,"0","ENSMUSG00000015112"
1.52338901818129e-07,2.57879737185,0.343,0.076,0.00319942161598434,"0","ENSMUSG00000026605"
1.60981261505195e-07,0.983888777106222,0.82,0.61,0.00338092845413211,"0","ENSMUSG00000024359"
2.00705757426689e-07,2.51666340923065,0.318,0.057,0.00421522231747533,"0","ENSMUSG00000023015"
2.06696420160053e-07,2.4065128619413,0.322,0.057,0.00434103821620143,"0","ENSMUSG00000035439"
2.11927468707116e-07,1.68946635051094,0.451,0.152,0.00445090069778685,"0","ENSMUSG00000074476"
2.14228224539974e-07,1.39107488549468,0.648,0.362,0.00449922117178853,"0","ENSMUSG00000030654"
2.47133233660441e-07,2.11788250331696,0.365,0.086,0.00519029217333659,"0","ENSMUSG00000027715"
2.6141769262888e-07,0.634600321831218,0.931,0.819,0.00549029438059175,"0","ENSMUSG00000031848"
2.74067433740823e-07,0.299720959821641,1,1,0.00575596424342476,"0","ENSMUSG00000037742"
2.8295519983261e-07,0.540285900304883,0.948,0.914,0.00594262510688447,"0","ENSMUSG00000020372"
3.98954736102674e-07,0.604112727218117,0.94,0.848,0.00837884736762837,"0","ENSMUSG00000000171"
4.10383094726561e-07,0.419350907109751,0.996,0.99,0.00861886575544724,"0","ENSMUSG00000023944"
4.34954890093028e-07,0.778151209217252,0.88,0.657,0.00913492260173378,"0","ENSMUSG00000050071"
4.51649437621074e-07,1.33064350121511,0.631,0.352,0.0094855414889178,"0","ENSMUSG00000031765"
4.8978484534228e-07,1.73204820602201,0.373,0.095,0.0102864613218786,"0","ENSMUSG00000023505"
6.05355823303137e-07,0.428918630421705,1,0.971,0.0127136830010125,"0","ENSMUSG00000006356"
6.48403553951161e-07,1.82464487252709,0.464,0.2,0.0136177714400823,"0","ENSMUSG00000055044"
6.72741179710183e-07,0.455284707688071,0.983,0.971,0.0141289102562733,"0","ENSMUSG00000051747"
6.78699290750307e-07,1.50857506178779,0.511,0.229,0.014254042504338,"0","ENSMUSG00000037820"
7.03423467867317e-07,0.80598888313729,0.845,0.648,0.0147732996721494,"0","ENSMUSG00000045160"
8.65383865615734e-07,0.651111970420005,0.914,0.724,0.0181747919456616,"0","ENSMUSG00000041476"
8.66619819192162e-07,0.373036626042504,1,0.981,0.0182007494426738,"0","ENSMUSG00000006333"
8.77947190982362e-07,0.629181160538188,0.923,0.79,0.0184386469050116,"0","ENSMUSG00000006728"
9.09516400685655e-07,0.991043707422913,0.73,0.438,0.0191016634472001,"0","ENSMUSG00000026281"
1.04726199473593e-06,1.08851672405936,0.7,0.505,0.021994596413444,"0","ENSMUSG00000037894"
1.08074905488785e-06,0.631665523330514,0.94,0.886,0.0226978916507546,"0","ENSMUSG00000026238"
1.1601818365712e-06,0.730959076495482,0.854,0.686,0.0243661389316683,"0","ENSMUSG00000025980"
1.18564442112492e-06,1.28839123662738,0.618,0.324,0.0249009041324655,"0","ENSMUSG00000031239"
1.21348422309392e-06,0.611385055254934,0.884,0.676,0.0254855956534185,"0","ENSMUSG00000040824"
1.29012088688109e-06,0.720706815898633,0.893,0.667,0.0270951188662767,"0","ENSMUSG00000032518"
1.61511094603594e-06,0.482661462576761,0.996,0.99,0.0339205600886468,"0","ENSMUSG00000001525"
1.71408312432936e-06,1.75316777774939,0.468,0.21,0.0359991737771652,"0","ENSMUSG00000020649"
1.85300502891637e-06,1.62755311580711,0.403,0.152,0.0389168116173016,"0","ENSMUSG00000020914"
2.22115763513863e-06,1.83327480201939,0.348,0.095,0.0466487526531814,"0","ENSMUSG00000061353"
2.23667142861927e-06,2.17719118002476,0.305,0.067,0.0469745733438619,"0","ENSMUSG00000041431"
2.42544214558933e-06,1.10822780807779,0.661,0.438,0.050939135941667,"0","ENSMUSG00000025732"
2.98214262800294e-06,0.465668115495765,0.983,0.924,0.0626309594733178,"0","ENSMUSG00000028234"
3.27505891158289e-06,1.39738521328515,0.481,0.21,0.0687827872610639,"0","ENSMUSG00000006715"
3.95724837510061e-06,0.407088724456606,0.987,0.971,0.083110130373863,"0","ENSMUSG00000052146"
3.97846677433989e-06,1.39978319089614,0.494,0.229,0.0835557591946864,"0","ENSMUSG00000021868"
4.02680572014929e-06,0.332806833077843,1,1,0.0845709737345754,"0","ENSMUSG00000041841"
5.58194077835919e-06,2.1541180128586,0.322,0.095,0.1172319202271,"0","ENSMUSG00000006398"
6.89976300782997e-06,1.17689950347243,0.579,0.381,0.144908822690445,"0","ENSMUSG00000020089"
7.3791649129063e-06,0.656802547482633,0.824,0.648,0.154977221500858,"0","ENSMUSG00000063787"
8.34055560325097e-06,1.13713152594219,0.575,0.324,0.175168348779477,"0","ENSMUSG00000061461"
8.67010112565325e-06,0.439587928730649,0.82,0.562,0.18208946384097,"0","ENSMUSG00000028645"
9.77745822989737e-06,2.41676967775124,0.253,0.048,0.205346177744304,"0","ENSMUSG00000043091"
1.17666791214642e-05,1.06834390448335,0.545,0.286,0.247123794908992,"0","ENSMUSG00000041736"
1.21853269557271e-05,0.426524178553216,0.996,0.952,0.255916236724181,"0","ENSMUSG00000016319"
1.49758919614346e-05,0.772519226902594,0.76,0.524,0.314523682974048,"0","ENSMUSG00000039630"
1.50938988141255e-05,1.90609634156375,0.292,0.076,0.317002062894264,"0","ENSMUSG00000037169"
1.80055075236794e-05,1.41977525746715,0.361,0.133,0.378151669012315,"0","ENSMUSG00000026547"
1.96423137398196e-05,0.594463759860709,0.884,0.695,0.412527873163691,"0","ENSMUSG00000028333"
2.03366647130436e-05,0.321103736456906,1,1,0.427110632303342,"0","ENSMUSG00000032330"
2.25198135917818e-05,0.872157589707438,0.661,0.438,0.472961125054602,"0","ENSMUSG00000005481"
2.85614327215514e-05,0.743786279253558,0.734,0.505,0.599847210018023,"0","ENSMUSG00000021607"
2.86867025883243e-05,0.458203878184117,0.966,0.971,0.602478127759986,"0","ENSMUSG00000057113"
3.34135370388534e-05,0.577271850020873,0.901,0.771,0.701751104889999,"0","ENSMUSG00000039640"
4.01178387842445e-05,1.72772018637425,0.309,0.095,0.842554850146703,"0","ENSMUSG00000026429"
4.12223928262427e-05,0.834853882782062,0.627,0.457,0.86575269413675,"0","ENSMUSG00000020415"
4.21129999174703e-05,1.61574305451725,0.339,0.124,0.884457224266711,"0","ENSMUSG00000052698"
4.26617111770966e-05,1.13418059855185,0.438,0.2,0.895981258141384,"0","ENSMUSG00000069833"
4.53175467910972e-05,0.438572349843519,0.957,0.857,0.951759117706623,"0","ENSMUSG00000062981"
4.93853603729939e-05,0.333732888022186,0.987,0.943,1,"0","ENSMUSG00000025362"
4.96427298597108e-05,0.365444951943421,0.983,0.962,1,"0","ENSMUSG00000093674"
5.51117666737736e-05,1.04588645885833,0.545,0.333,1,"0","ENSMUSG00000051159"
5.53004332149631e-05,0.37542090649345,1,0.981,1,"0","ENSMUSG00000049775"
5.86640006217557e-05,1.13920838624801,0.494,0.286,1,"0","ENSMUSG00000030189"
5.98545925315228e-05,0.354452426938699,0.996,0.952,1,"0","ENSMUSG00000020267"
6.12459404130754e-05,0.258217339174774,1,1,1,"0","ENSMUSG00000018293"
6.37705807839668e-05,0.695456494507016,0.828,0.733,1,"0","ENSMUSG00000020358"
7.5305790240169e-05,1.16965344896836,0.348,0.133,1,"0","ENSMUSG00000028763"
7.98099266645961e-05,0.616304670008469,0.863,0.714,1,"0","ENSMUSG00000026234"
8.0634851484056e-05,0.397592686577786,0.944,0.895,1,"0","ENSMUSG00000031490"
8.33843233214839e-05,1.11114559127135,0.468,0.248,1,"0","ENSMUSG00000001707"
9.14218455184971e-05,0.712583634173724,0.773,0.59,1,"0","ENSMUSG00000006589"
9.20396290453487e-05,1.35974646744322,0.416,0.219,1,"0","ENSMUSG00000027752"
9.29238182299747e-05,1.46687814470285,0.335,0.133,1,"0","ENSMUSG00000000295"
0.000104612143960494,0.380405334598603,0.94,0.876,1,"0","ENSMUSG00000028936"
0.00010564064437369,1.02659470470197,0.408,0.181,1,"0","ENSMUSG00000062694"
0.000105962646467392,1.45372884768163,0.356,0.162,1,"0","ENSMUSG00000096768"
0.000110654521233371,0.781833835274304,0.644,0.438,1,"0","ENSMUSG00000035478"
0.000117312887621366,1.32307699092369,0.305,0.105,1,"0","ENSMUSG00000031790"
0.000121005190481039,0.741065590753047,0.639,0.4,1,"0","ENSMUSG00000020456"
0.000122092054283732,0.658650155080182,0.764,0.638,1,"0","ENSMUSG00000002477"
0.000126382512489837,0.867007399873413,0.631,0.438,1,"0","ENSMUSG00000025630"
0.000126844099702806,0.382980896863554,0.97,0.924,1,"0","ENSMUSG00000030869"
0.000135053876891939,0.871371336441513,0.528,0.324,1,"0","ENSMUSG00000075229"
0.000166258954866944,1.03673141409108,0.541,0.343,1,"0","ENSMUSG00000049932"
0.000177004340332931,1.14061613315925,0.446,0.257,1,"0","ENSMUSG00000021270"
0.00017943237768204,1.28991510993501,0.352,0.152,1,"0","ENSMUSG00000068101"
0.000182744690577522,0.847029087555329,0.631,0.448,1,"0","ENSMUSG00000002984"
0.000206852788207496,0.837281855619625,0.481,0.257,1,"0","ENSMUSG00000071072"
0.000226309798789522,0.48977808657116,0.914,0.8,1,"0","ENSMUSG00000079641"
